Last position of orbit,   A
-0.08011538  0.          3.52778982  1.         0.203373
  8.87484843e-04   0.00000000e+00   3.84145068e+00   1.00000000e+00 0.203374
 0.08011815  0.          2.75535596  1.         0.203375
 -8.89975306e-04   0.00000000e+00   2.44171710e+00   1.00000000e+00 0.203376
-0.08012087  0.          3.52786838  1.         0.203377
  8.92548448e-04   0.00000000e+00   3.84148426e+00   1.00000000e+00 0.203378
 0.08012364  0.          2.75527812  1.         0.203379
 -8.95127160e-04   0.00000000e+00   2.44168295e+00   1.00000000e+00 0.20338
-0.08012643  0.          3.52794775  1.         0.203381
  8.97682899e-04   0.00000000e+00   3.84151962e+00   1.00000000e+00 0.203382
 0.08012921  0.          2.75519832  1.         0.203383
 -9.00217110e-04   0.00000000e+00   2.44164836e+00   1.00000000e+00 0.203384
-0.08013194  0.          3.52802612  1.         0.203385
  9.02781283e-04   0.00000000e+00   3.84155381e+00   1.00000000e+00 0.203386
 0.08013472  0.          2.75511952  1.         0.203387
 -9.05310552e-04   0.00000000e+00   2.44161361e+00   1.00000000e+00 0.203388
-0.08013746  0.          3.52810477  1.         0.203389
  9.07831794e-04   0.00000000e+00   3.84158839e+00   1.00000000e+00 0.20339
 0.08014021  0.          2.75504169  1.         0.203391
 -9.10427368e-04   0.00000000e+00   2.44157949e+00   1.00000000e+00 0.203392
-0.08014296  0.          3.52818321  1.         0.203393
  9.12875161e-04   0.00000000e+00   3.84162294e+00   1.00000000e+00 0.203394
 0.08014568  0.          2.75496377  1.         0.203395
 -9.15423625e-04   0.00000000e+00   2.44154539e+00   1.00000000e+00 0.203396
-0.08014842  0.          3.52826113  1.         0.203397
  9.18003365e-04   0.00000000e+00   3.84165718e+00   1.00000000e+00 0.203398
 0.08015124  0.          2.75488411  1.         0.203399
 -9.20486033e-04   0.00000000e+00   2.44151095e+00   1.00000000e+00 0.2034
-0.08015392  0.          3.52833948  1.         0.203401
  9.23081421e-04   0.00000000e+00   3.84169147e+00   1.00000000e+00 0.203402
 0.08015666  0.          2.75480657  1.         0.203403
 -9.25641481e-04   0.00000000e+00   2.44147605e+00   1.00000000e+00 0.203404
-0.08015947  0.          3.52841851  1.         0.203405
  9.28136772e-04   0.00000000e+00   3.84172584e+00   1.00000000e+00 0.203406
 0.08016218  0.          2.75472805  1.         0.203407
 -9.30664561e-04   0.00000000e+00   2.44144196e+00   1.00000000e+00 0.203408
-0.0801649  0.         3.5284962  1.        0.203409
  9.33216446e-04   0.00000000e+00   3.84176045e+00   1.00000000e+00 0.20341
 0.08016763  0.          2.75465083  1.         0.203411
 -9.35729439e-04   0.00000000e+00   2.44140787e+00   1.00000000e+00 0.203412
-0.08017041  0.          3.52857492  1.         0.203413
  9.38196214e-04   0.00000000e+00   3.84179441e+00   1.00000000e+00 0.203414
 0.08017316  0.          2.75457141  1.         0.203415
 -9.40760380e-04   0.00000000e+00   2.44137348e+00   1.00000000e+00 0.203416
-0.08017587  0.          3.52865258  1.         0.203417
  9.43240898e-04   0.00000000e+00   3.84182843e+00   1.00000000e+00 0.203418
 0.08017859  0.          2.75449367  1.         0.203419
 -9.45816473e-04   0.00000000e+00   2.44133910e+00   1.00000000e+00 0.20342
-0.08018129  0.          3.52872938  1.         0.203421
  9.48256043e-04   0.00000000e+00   3.84186278e+00   1.00000000e+00 0.203422
 0.08018403  0.          2.75441706  1.         0.203423
 -9.50860842e-04   0.00000000e+00   2.44130484e+00   1.00000000e+00 0.203424
-0.08018685  0.          3.52880945  1.         0.203425
  9.53276677e-04   0.00000000e+00   3.84189727e+00   1.00000000e+00 0.203426
 0.08018954  0.          2.75433873  1.         0.203427
 -9.55870431e-04   0.00000000e+00   2.44127060e+00   1.00000000e+00 0.203428
-0.08019219  0.          3.5288846   1.         0.203429
  9.58351030e-04   0.00000000e+00   3.84193166e+00   1.00000000e+00 0.20343
 0.08019496  0.          2.75426132  1.         0.203431
 -9.60864120e-04   0.00000000e+00   2.44123680e+00   1.00000000e+00 0.203432
-0.08019776  0.          3.52896463  1.         0.203433
  9.63360741e-04   0.00000000e+00   3.84196544e+00   1.00000000e+00 0.203434
 0.08020047  0.          2.75418248  1.         0.203435
 -9.65883390e-04   0.00000000e+00   2.44120191e+00   1.00000000e+00 0.203436
-0.08020317  0.          3.52904131  1.         0.203437
  9.68387957e-04   0.00000000e+00   3.84200031e+00   1.00000000e+00 0.203438
 0.0802059   0.          2.75410557  1.         0.203439
 -9.70848468e-04   0.00000000e+00   2.44116768e+00   1.00000000e+00 0.20344
-0.08020862  0.          3.52911918  1.         0.203441
  9.73385100e-04   0.00000000e+00   3.84203425e+00   1.00000000e+00 0.203442
 0.08021131  0.          2.75402878  1.         0.203443
 -9.75827316e-04   0.00000000e+00   2.44113406e+00   1.00000000e+00 0.203444
-0.08021406  0.          3.52919618  1.         0.203445
  9.78355681e-04   0.00000000e+00   3.84206827e+00   1.00000000e+00 0.203446
 0.08021679  0.          2.75395017  1.         0.203447
 -9.80811966e-04   0.00000000e+00   2.44109966e+00   1.00000000e+00 0.203448
-0.08021949  0.          3.52927338  1.         0.203449
  9.83308756e-04   0.00000000e+00   3.84210228e+00   1.00000000e+00 0.20345
 0.08022213  0.          2.75387341  1.         0.203451
 -9.85791645e-04   0.00000000e+00   2.44106554e+00   1.00000000e+00 0.203452
-0.08022486  0.          3.52934923  1.         0.203453
  9.88288826e-04   0.00000000e+00   3.84213641e+00   1.00000000e+00 0.203454
 0.08022755  0.          2.75379623  1.         0.203455
 -9.90768518e-04   0.00000000e+00   2.44103142e+00   1.00000000e+00 0.203456
-0.08023028  0.          3.52942638  1.         0.203457
  9.93262474e-04   0.00000000e+00   3.84217052e+00   1.00000000e+00 0.203458
 0.08023297  0.          2.75371913  1.         0.203459
 -9.95738958e-04   0.00000000e+00   2.44099732e+00   1.00000000e+00 0.20346
-0.08023569  0.          3.52950345  1.         0.203461
  9.98229699e-04   0.00000000e+00   3.84220462e+00   1.00000000e+00 0.203462
 0.08023839  0.          2.75364211  1.         0.203463
 -1.00070297e-03   0.00000000e+00   2.44096324e+00   1.00000000e+00 0.203464
-0.08024113  0.          3.52958193  1.         0.203465
  1.00323026e-03   0.00000000e+00   3.84223901e+00   1.00000000e+00 0.203466
 0.08024388  0.          2.75356486  1.         0.203467
 -1.00568949e-03   0.00000000e+00   2.44092944e+00   1.00000000e+00 0.203468
-0.08024655  0.          3.52965788  1.         0.203469
  1.00817798e-03   0.00000000e+00   3.84227297e+00   1.00000000e+00 0.20347
 0.08024921  0.          2.75348797  1.         0.203471
 -1.01068194e-03   0.00000000e+00   2.44089525e+00   1.00000000e+00 0.203472
-0.08025193  0.          3.52973452  1.         0.203473
  1.01309636e-03   0.00000000e+00   3.84230658e+00   1.00000000e+00 0.203474
 0.08025467  0.          2.75341117  1.         0.203475
 -1.01553385e-03   0.00000000e+00   2.44086112e+00   1.00000000e+00 0.203476
-0.08025738  0.          3.52981264  1.         0.203477
  1.01807243e-03   0.00000000e+00   3.84234115e+00   1.00000000e+00 0.203478
 0.08026006  0.          2.75333516  1.         0.203479
 -1.02054828e-03   0.00000000e+00   2.44082736e+00   1.00000000e+00 0.20348
-0.08026273  0.          3.52988871  1.         0.203481
  1.02301049e-03   0.00000000e+00   3.84237508e+00   1.00000000e+00 0.203482
 0.08026541  0.          2.75325841  1.         0.203483
 -1.02546650e-03   0.00000000e+00   2.44079318e+00   1.00000000e+00 0.203484
-0.08026812  0.          3.5299653   1.         0.203485
  1.02794002e-03   0.00000000e+00   3.84240906e+00   1.00000000e+00 0.203486
 0.0802708   0.          2.75318186  1.         0.203487
 -1.03039272e-03   0.00000000e+00   2.44075921e+00   1.00000000e+00 0.203488
-0.0802735   0.          3.53004181  1.         0.203489
  1.03286330e-03   0.00000000e+00   3.84244303e+00   1.00000000e+00 0.20349
 0.08027618  0.          2.75310539  1.         0.203491
 -1.03531267e-03   0.00000000e+00   2.44072526e+00   1.00000000e+00 0.203492
-0.08027888  0.          3.53011824  1.         0.203493
  1.03778035e-03   0.00000000e+00   3.84247697e+00   1.00000000e+00 0.203494
 0.08028155  0.          2.75302901  1.         0.203495
 -1.04022636e-03   0.00000000e+00   2.44069132e+00   1.00000000e+00 0.203496
-0.08028425  0.          3.53019459  1.         0.203497
  1.04269116e-03   0.00000000e+00   3.84251090e+00   1.00000000e+00 0.203498
 0.08028692  0.          2.7529527   1.         0.203499
 -1.04520337e-03   0.00000000e+00   2.44065682e+00   1.00000000e+00 0.2035
-0.08028958  0.          3.53027056  1.         0.203501
  1.04760573e-03   0.00000000e+00   3.84254542e+00   1.00000000e+00 0.203502
 0.08029228  0.          2.75287666  1.         0.203503
 -1.05005041e-03   0.00000000e+00   2.44062328e+00   1.00000000e+00 0.203504
-0.08029497  0.          3.53034662  1.         0.203505
  1.05249443e-03   0.00000000e+00   3.84257882e+00   1.00000000e+00 0.203506
 0.08029759  0.          2.75280139  1.         0.203507
 -1.05497607e-03   0.00000000e+00   2.44058934e+00   1.00000000e+00 0.203508
-0.08030039  0.          3.5304241   1.         0.203509
  1.05745009e-03   0.00000000e+00   3.84261290e+00   1.00000000e+00 0.20351
 0.08030305  0.          2.75272319  1.         0.203511
 -1.05979465e-03   0.00000000e+00   2.44055548e+00   1.00000000e+00 0.203512
-0.08030569  0.          3.53049939  1.         0.203513
  1.06235081e-03   0.00000000e+00   3.84264683e+00   1.00000000e+00 0.203514
 0.08030843  0.          2.75264755  1.         0.203515
 -1.06475931e-03   0.00000000e+00   2.44052133e+00   1.00000000e+00 0.203516
-0.080311    0.          3.53057478  1.         0.203517
  1.06715015e-03   0.00000000e+00   3.84267993e+00   1.00000000e+00 0.203518
 0.08031376  0.          2.75257174  1.         0.203519
 -1.06967019e-03   0.00000000e+00   2.44048792e+00   1.00000000e+00 0.20352
-0.08031637  0.          3.53065079  1.         0.203521
  1.07206040e-03   0.00000000e+00   3.84271409e+00   1.00000000e+00 0.203522
 0.08031912  0.          2.75249436  1.         0.203523
 -1.07443916e-03   0.00000000e+00   2.44045427e+00   1.00000000e+00 0.203524
-0.08032176  0.          3.53072664  1.         0.203525
  1.07689383e-03   0.00000000e+00   3.84274823e+00   1.00000000e+00 0.203526
 0.08032442  0.          2.75242014  1.         0.203527
 -1.07927750e-03   0.00000000e+00   2.44042044e+00   1.00000000e+00 0.203528
-0.08032705  0.          3.53080276  1.         0.203529
  1.08174958e-03   0.00000000e+00   3.84278164e+00   1.00000000e+00 0.20353
 0.08032975  0.          2.75234414  1.         0.203531
 -1.08418901e-03   0.00000000e+00   2.44038614e+00   1.00000000e+00 0.203532
-0.08033241  0.          3.53087918  1.         0.203533
  1.08655990e-03   0.00000000e+00   3.84281567e+00   1.00000000e+00 0.203534
 0.08033504  0.          2.75226906  1.         0.203535
 -1.08896212e-03   0.00000000e+00   2.44035334e+00   1.00000000e+00 0.203536
-0.08033775  0.          3.53095458  1.         0.203537
  1.09138927e-03   0.00000000e+00   3.84284922e+00   1.00000000e+00 0.203538
 0.08034039  0.          2.75219318  1.         0.203539
 -1.09384966e-03   0.00000000e+00   2.44031908e+00   1.00000000e+00 0.20354
-0.08034303  0.          3.5310285   1.         0.203541
  1.09625367e-03   0.00000000e+00   3.84288318e+00   1.00000000e+00 0.203542
 0.08034574  0.          2.75211736  1.         0.203543
 -1.09870467e-03   0.00000000e+00   2.44028545e+00   1.00000000e+00 0.203544
-0.08034833  0.          3.53110451  1.         0.203545
  1.10111603e-03   0.00000000e+00   3.84291657e+00   1.00000000e+00 0.203546
 0.08035103  0.          2.75204211  1.         0.203547
 -1.10359747e-03   0.00000000e+00   2.44025158e+00   1.00000000e+00 0.203548
-0.08035366  0.          3.53118032  1.         0.203549
  1.10595959e-03   0.00000000e+00   3.84295035e+00   1.00000000e+00 0.20355
 0.08035629  0.          2.75196756  1.         0.203551
 -1.10833229e-03   0.00000000e+00   2.44021808e+00   1.00000000e+00 0.203552
